Country|Households||||||||
AT|69.72||||||||
BE|62.56||||||||
BG|30.29||||||||
CY|45.10||||||||
CZ|64.74||||||||
DE|158.28||||||||
DK|212.94||||||||
EE|124.68||||||||
EL|133.05||||||||
ES|72.34||||||||
FI|159.16||||||||
FR|70.41||||||||
HR|50.11||||||||
HU|104.13||||||||
IE|40.20||||||||
IT|70.52||||||||
LT|48.69||||||||
LU|236.28||||||||
LV|54.94||||||||
MT|21.50||||||||
NL|125.63||||||||
PL|123.78||||||||
PT|152.38||||||||
RO|18.54||||||||
SE|149.91||||||||
SI|50.92||||||||
SK|193.40||||||||
UK|69.08||||||||
