iso2|iso3|name|bextent
SL|SLE|Sierra Leone|SRID=4326;POLYGON((-13.30266 6.92344,-13.30266 10.00031,-10.27215 10.00031,-10.27215 6.92344,-13.30266 6.92344))
TN|TUN|Tunisia|SRID=4326;POLYGON((7.52353 30.24108,7.52353 37.56006,11.59758 37.56006,11.59758 30.24108,7.52353 30.24108))
TF|ATF|French Southern and Antarctic Lands|SRID=4326;POLYGON((50.16562 -49.82938,50.16562 -37.7925,77.59704 -37.7925,77.59704 -49.82938,50.16562 -49.82938))
TG|TGO|Togo|SRID=4326;POLYGON((-0.14696 6.11242,-0.14696 11.13898,1.80554 11.13898,1.80554 6.11242,-0.14696 6.11242))
SN|SEN|Senegal|SRID=4326;POLYGON((-17.52634 12.30749,-17.52634 16.6913,-11.34743 16.6913,-11.34743 12.30749,-17.52634 12.30749))
MW|MWI|Malawi|SRID=4326;POLYGON((32.67547 -17.1287,32.67547 -9.36803,35.93104 -9.36803,35.93104 -17.1287,32.67547 -17.1287))
XF|XF|Hala'Ib Triangle|SRID=4326;POLYGON((34.08653 22.00251,34.08653 23.14553,36.89288 23.14553,36.89288 22.00251,34.08653 22.00251))
XU|XU|Abyei|SRID=4326;POLYGON((27.81453 9.3436,27.81453 10.14339,28.97701 10.14339,28.97701 9.3436,27.81453 9.3436))
LS|LSO|Lesotho|SRID=4326;POLYGON((27.02982 -30.66803,27.02982 -28.57244,29.46537 -28.57244,29.46537 -30.66803,27.02982 -30.66803))
NA|NAM|Namibia|SRID=4326;POLYGON((11.73737 -28.96909,11.73737 -16.9635,25.2628 -16.9635,25.2628 -28.96909,11.73737 -28.96909))
KM|COM|Comoros|SRID=4326;POLYGON((43.22929 -12.42211,43.22929 -11.36551,44.53641 -11.36551,44.53641 -12.42211,43.22929 -12.42211))
MR|MRT|Mauritania|SRID=4326;POLYGON((-17.06651 14.71563,-17.06651 27.31274,-4.83333 27.31274,-4.83333 14.71563,-17.06651 14.71563))
ML|MLI|Mali|SRID=4326;POLYGON((-12.23916 10.16053,-12.23916 25,4.24487 25,4.24487 10.16053,-12.23916 10.16053))
SZ|SWZ|Eswatini|SRID=4326;POLYGON((30.79423 -27.31665,30.79423 -25.72057,32.13664 -25.72057,32.13664 -27.31665,30.79423 -27.31665))
TZ|TZA|United Republic of Tanzania|SRID=4326;POLYGON((29.34139 -11.75959,29.34139 -0.98489,40.44128 -0.98489,40.44128 -11.75959,29.34139 -11.75959))
TD|TCD|Chad|SRID=4326;POLYGON((13.4735 7.44338,13.4735 23.43883,24 23.43883,24 7.44338,13.4735 7.44338))
ST|STP|São Tomé and Príncipe|SRID=4326;POLYGON((6.46208 -0.01497,6.46208 1.70187,7.46134 1.70187,7.46134 -0.01497,6.46208 -0.01497))
XV|XV|Bir Tawil (Disputed Territory)|SRID=4326;POLYGON((33.18263 21.72548,33.18263 22.00251,34.08653 22.00251,34.08653 21.72548,33.18263 21.72548))
MU|MUS|Mauritius|SRID=4326;POLYGON((56.58566 -20.52385,56.58566 -10.33714,63.50264 -10.33714,63.50264 -20.52385,56.58566 -20.52385))
RW|RWA|Rwanda|SRID=4326;POLYGON((28.86277 -2.83898,28.86277 -1.04793,30.8993 -1.04793,30.8993 -2.83898,28.86277 -2.83898))
SD|SDN|Sudan|SRID=4326;POLYGON((21.81513 8.63782,21.81513 22.22439,38.58005 22.22439,38.58005 8.63782,21.81513 8.63782))
SH|SHN|Saint Helena, Ascension and Tristan Da Cunha|SRID=4326;POLYGON((-14.42021 -40.37083,-14.42021 -7.89002,-5.63415 -7.89002,-5.63415 -40.37083,-14.42021 -40.37083))
CV|CPV|Cape Verde|SRID=4326;POLYGON((-25.35873 14.80222,-25.35873 17.19716,-22.66943 17.19716,-22.66943 14.80222,-25.35873 14.80222))
GW|GNB|Guinea-Bissau|SRID=4326;POLYGON((-16.70743 10.86439,-16.70743 12.6806,-13.63318 12.6806,-13.63318 10.86439,-16.70743 10.86439))
LR|LBR|Liberia|SRID=4326;POLYGON((-11.49748 4.35576,-11.49748 8.55116,-7.36577 8.55116,-7.36577 4.35576,-11.49748 4.35576))
SO|SOM|Somalia|SRID=4326;POLYGON((40.99432 -1.65575,40.99432 11.98947,51.41252 11.98947,51.41252 -1.65575,40.99432 -1.65575))
SS|SSD|South Sudan|SRID=4326;POLYGON((24.15131 3.48747,24.15131 12.23184,35.9477 12.23184,35.9477 3.48747,24.15131 3.48747))
ZM|ZMB|Zambia|SRID=4326;POLYGON((21.9999 -18.07824,21.9999 -8.19225,33.70525 -8.19225,33.70525 -18.07824,21.9999 -18.07824))
ZW|ZWE|Zimbabwe|SRID=4326;POLYGON((25.2372 -22.41774,25.2372 -15.60901,33.05534 -15.60901,33.05534 -22.41774,25.2372 -22.41774))
